Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
,,Dress Up Sub-Total,,178,"$1,472.00 ",,3.52%,,,,0.35%
Earrings,,,,,,,,,,,
048675535069: Clear Spacers for Sports,,,,2,$79.95 ,,0.08%,,,,0.01%
048675535069: Clear Spacers for Sports,,,,-1,($45.00),,,,,,
048675955089: Tiny Tips 13,,,,7,$175.00 ,,0.36%,,,,0.04%
048675955089: Tiny Tips 13,,,,-1,($25.00),,,,,,
048675955102: Tiny Tips 12,,,,1,$25.00 ,,0.06%,,,,0.01%
048675955119: Tiny Tips 9,,,,6,$136.25 ,,0.33%,,,,0.03%
048675955126: Tiny Tips 8,,,,8,$186.25 ,,0.45%,,,,0.04%
048675955133: Tiny Tips 4,,,,7,$163.25 ,,0.39%,,,,0.04%
048675955140: Tiny Tips 6,,,,5,$125.00 ,,0.30%,,,,0.03%
048675955157: Tiny Tips 1,,,,1,$25.00 ,,0.06%,,,,0.01%
048675955171: Tiny Tips Green Daisy,,,,3,$78.00 ,,0.19%,,,,0.02%
048675955188: Tiny Tips Blue Crystal Daisy,,,,2,$52.00 ,,0.12%,,,,0.01%
048675955201: Tiny Tips 11,,,,8,$200.00 ,,0.48%,,,,0.05%
048675955249: Tiny Tips 17,,,,1,$9.00 ,,0.02%,,,,0.00%
048675955263: Tiny Tips 2,,,,5,$125.00 ,,0.30%,,,,0.03%
048675958660: 25- Glitter Heart,,,,3,$106.95 ,,0.26%,,,,0.03%
37STUD: baby oct flower Gold Plated Earings,,,,1,$18.00 ,,0.04%,,,,0.00%
3tAmi20707622: Tiny Tips 21,,,,19,$456.25 ,,1.09%,,,,0.11%
3tAmi20707623: Tiny Tips 22,,,,26,$641.25 ,,1.53%,,,,0.15%
633003101087: Month Stick on Earrings,,,,6,$24.00 ,,0.06%,,,,0.01%
"87503: ""Unicorn Sticker Earrings, 30 Pairs""",,,,13,$52.00 ,,0.12%,,,,0.01%
"87504: ""Mermaid Sticker Earrings, 30 Pairs""",,,,21,$82.00 ,,0.20%,,,,0.02%
"87505: ""Superhero Sticker Earrings, 30 Pairs """,,,,2,$8.00 ,,0.02%,,,,0.00%
"87506: ""Rainbow Love Sticker Earrings, 30 pairs""",,,,6,$24.00 ,,0.06%,,,,0.01%
"87508: ""Heart Sticker Earrings, 30 Pairs""",,,,7,$28.00 ,,0.07%,,,,0.01%
"87509: ""Whimsical Unicorn Sticker Earrings, 30 Pairs""",,,,10,$40.00 ,,0.10%,,,,0.01%
"90601: ""Boutique Dazzle Clip On Earrings, 3 Sets""",,,,6,$42.00 ,,0.10%,,,,0.01%
"90602: ""Boutique Unicorn Studded Earrings, 3 Sets""",,,,17,$119.00 ,,0.28%,,,,0.03%
"90603: ""Boutique Butterfly Clip On Earrings, 2 Sets""",,,,7,$49.00 ,,0.12%,,,,0.01%
"90604: ""Boutique Dazzle Studded Earrings, 3 Sets""",,,,5,$35.00 ,,0.08%,,,,0.01%
"90605: ""Boutique Rose Studded Earrings, 3 Sets""",,,,6,$42.00 ,,0.10%,,,,0.01%
J342S05: Girl Nation EP 2,,,,6,$69.80 ,,0.17%,,,,0.02%
J504S: Girl Nation EP 17,,,,1,$10.00 ,,0.02%,,,,0.00%
J508S: Girl Nation EP 7,,,,2,$29.80 ,,0.07%,,,,0.01%
J521S: Girl Nation EP 41,,,,1,$10.00 ,,0.02%,,,,0.00%
J523S02: Girl Nation EP 24,,,,1,$10.00 ,,0.02%,,,,0.00%
J524S: Girl Nation EP 28,,,,2,$29.80 ,,0.07%,,,,0.01%
J525S: Girl Nation EP 43,,,,1,$10.00 ,,0.02%,,,,0.00%
J526S05: Girl Nation EP 32,,,,1,$19.80 ,,0.05%,,,,0.00%
J531S: Girl Nation EP 8,,,,2,$18.65 ,,0.04%,,,,0.00%
J533S: Girl Nation EP 29,,,,2,$20.00 ,,0.05%,,,,0.00%
J533S05: Girl Nation EP 45,,,,3,$49.60 ,,0.12%,,,,0.01%
